ENROLLMENT TERM,SUBJECT AREA,CATLG NBR,GRD OFF,GRD COUNT,ENRL TOT,LONG CRSE TITLE,INSTR NAME
21F,STATS  ,10      ,A+ ,58,150,Introduction to Statistical Reasoning,"CHA, MARIA"
21F,STATS  ,10      ,A  ,40,150,Introduction to Statistical Reasoning,"CHA, MARIA"
21F,STATS  ,10      ,A- ,23,150,Introduction to Statistical Reasoning,"CHA, MARIA"
21F,STATS  ,10      ,B+ ,3,150,Introduction to Statistical Reasoning,"CHA, MARIA"
21F,STATS  ,10      ,B  ,9,150,Introduction to Statistical Reasoning,"CHA, MARIA"
21F,STATS  ,10      ,B- ,6,150,Introduction to Statistical Reasoning,"CHA, MARIA"
21F,STATS  ,10      ,C+ ,3,150,Introduction to Statistical Reasoning,"CHA, MARIA"
21F,STATS  ,10      ,C  ,6,150,Introduction to Statistical Reasoning,"CHA, MARIA"
21F,STATS  ,10      ,NP ,1,150,Introduction to Statistical Reasoning,"CHA, MARIA"
21F,STATS  ,10      ,P  ,1,150,Introduction to Statistical Reasoning,"CHA, MARIA"
21F,STATS  ,10      ,A+ ,46,144,Introduction to Statistical Reasoning,"CHA, MARIA"
21F,STATS  ,10      ,A  ,47,144,Introduction to Statistical Reasoning,"CHA, MARIA"
21F,STATS  ,10      ,A- ,13,144,Introduction to Statistical Reasoning,"CHA, MARIA"
21F,STATS  ,10      ,B+ ,7,144,Introduction to Statistical Reasoning,"CHA, MARIA"
21F,STATS  ,10      ,B  ,11,144,Introduction to Statistical Reasoning,"CHA, MARIA"
21F,STATS  ,10      ,B- ,6,144,Introduction to Statistical Reasoning,"CHA, MARIA"
21F,STATS  ,10      ,C+ ,9,144,Introduction to Statistical Reasoning,"CHA, MARIA"
21F,STATS  ,10      ,C  ,3,144,Introduction to Statistical Reasoning,"CHA, MARIA"
21F,STATS  ,10      ,D+ ,1,144,Introduction to Statistical Reasoning,"CHA, MARIA"
21F,STATS  ,10      ,P  ,1,144,Introduction to Statistical Reasoning,"CHA, MARIA"
21F,STATS  ,10      ,A+ ,26,140,Introduction to Statistical Reasoning,"WANG, BINGLING"
21F,STATS  ,10      ,A  ,54,140,Introduction to Statistical Reasoning,"WANG, BINGLING"
21F,STATS  ,10      ,A- ,15,140,Introduction to Statistical Reasoning,"WANG, BINGLING"
21F,STATS  ,10      ,B+ ,8,140,Introduction to Statistical Reasoning,"WANG, BINGLING"
21F,STATS  ,10      ,B  ,7,140,Introduction to Statistical Reasoning,"WANG, BINGLING"
21F,STATS  ,10      ,B- ,5,140,Introduction to Statistical Reasoning,"WANG, BINGLING"
21F,STATS  ,10      ,C+ ,6,140,Introduction to Statistical Reasoning,"WANG, BINGLING"
21F,STATS  ,10      ,C  ,4,140,Introduction to Statistical Reasoning,"WANG, BINGLING"
21F,STATS  ,10      ,D+ ,2,140,Introduction to Statistical Reasoning,"WANG, BINGLING"
21F,STATS  ,10      ,D  ,1,140,Introduction to Statistical Reasoning,"WANG, BINGLING"
21F,STATS  ,10      ,D- ,2,140,Introduction to Statistical Reasoning,"WANG, BINGLING"
21F,STATS  ,10      ,F  ,7,140,Introduction to Statistical Reasoning,"WANG, BINGLING"
21F,STATS  ,10      ,P  ,4,140,Introduction to Statistical Reasoning,"WANG, BINGLING"
21F,STATS  ,10      ,A+ ,37,138,Introduction to Statistical Reasoning,"WANG, BINGLING"
21F,STATS  ,10      ,A  ,53,138,Introduction to Statistical Reasoning,"WANG, BINGLING"
21F,STATS  ,10      ,A- ,6,138,Introduction to Statistical Reasoning,"WANG, BINGLING"
21F,STATS  ,10      ,B+ ,13,138,Introduction to Statistical Reasoning,"WANG, BINGLING"
21F,STATS  ,10      ,B  ,4,138,Introduction to Statistical Reasoning,"WANG, BINGLING"
21F,STATS  ,10      ,B- ,5,138,Introduction to Statistical Reasoning,"WANG, BINGLING"
21F,STATS  ,10      ,C+ ,2,138,Introduction to Statistical Reasoning,"WANG, BINGLING"
21F,STATS  ,10      ,C  ,3,138,Introduction to Statistical Reasoning,"WANG, BINGLING"
21F,STATS  ,10      ,C- ,5,138,Introduction to Statistical Reasoning,"WANG, BINGLING"
21F,STATS  ,10      ,D+ ,2,138,Introduction to Statistical Reasoning,"WANG, BINGLING"
21F,STATS  ,10      ,D  ,1,138,Introduction to Statistical Reasoning,"WANG, BINGLING"
21F,STATS  ,10      ,F  ,2,138,Introduction to Statistical Reasoning,"WANG, BINGLING"
21F,STATS  ,10      ,NP ,3,138,Introduction to Statistical Reasoning,"WANG, BINGLING"
21F,STATS  ,10      ,P  ,2,138,Introduction to Statistical Reasoning,"WANG, BINGLING"
21F,STATS  ,10      ,A+ ,1,149,Introduction to Statistical Reasoning,"WU, GUANI"
21F,STATS  ,10      ,A  ,30,149,Introduction to Statistical Reasoning,"WU, GUANI"
21F,STATS  ,10      ,A- ,32,149,Introduction to Statistical Reasoning,"WU, GUANI"
21F,STATS  ,10      ,B+ ,23,149,Introduction to Statistical Reasoning,"WU, GUANI"
21F,STATS  ,10      ,B  ,14,149,Introduction to Statistical Reasoning,"WU, GUANI"
21F,STATS  ,10      ,C+ ,11,149,Introduction to Statistical Reasoning,"WU, GUANI"
21F,STATS  ,10      ,C  ,12,149,Introduction to Statistical Reasoning,"WU, GUANI"
21F,STATS  ,10      ,C- ,7,149,Introduction to Statistical Reasoning,"WU, GUANI"
21F,STATS  ,10      ,D  ,2,149,Introduction to Statistical Reasoning,"WU, GUANI"
21F,STATS  ,10      ,F  ,4,149,Introduction to Statistical Reasoning,"WU, GUANI"
21F,STATS  ,10      ,NP ,3,149,Introduction to Statistical Reasoning,"WU, GUANI"
21F,STATS  ,10      ,P  ,10,149,Introduction to Statistical Reasoning,"WU, GUANI"
21F,STATS  ,13      ,A+ ,1,155,Introduction to Statistical Methods for Life and Health Sciences,"ZANONTIAN, LINDA ANIA"
21F,STATS  ,13      ,A  ,65,155,Introduction to Statistical Methods for Life and Health Sciences,"ZANONTIAN, LINDA ANIA"
21F,STATS  ,13      ,A- ,44,155,Introduction to Statistical Methods for Life and Health Sciences,"ZANONTIAN, LINDA ANIA"
21F,STATS  ,13      ,B+ ,21,155,Introduction to Statistical Methods for Life and Health Sciences,"ZANONTIAN, LINDA ANIA"
21F,STATS  ,13      ,B  ,13,155,Introduction to Statistical Methods for Life and Health Sciences,"ZANONTIAN, LINDA ANIA"
21F,STATS  ,13      ,B- ,1,155,Introduction to Statistical Methods for Life and Health Sciences,"ZANONTIAN, LINDA ANIA"
21F,STATS  ,13      ,C+ ,2,155,Introduction to Statistical Methods for Life and Health Sciences,"ZANONTIAN, LINDA ANIA"
21F,STATS  ,13      ,C  ,3,155,Introduction to Statistical Methods for Life and Health Sciences,"ZANONTIAN, LINDA ANIA"
21F,STATS  ,13      ,C- ,2,155,Introduction to Statistical Methods for Life and Health Sciences,"ZANONTIAN, LINDA ANIA"
21F,STATS  ,13      ,D+ ,1,155,Introduction to Statistical Methods for Life and Health Sciences,"ZANONTIAN, LINDA ANIA"
21F,STATS  ,13      ,D  ,1,155,Introduction to Statistical Methods for Life and Health Sciences,"ZANONTIAN, LINDA ANIA"
21F,STATS  ,13      ,I  ,1,155,Introduction to Statistical Methods for Life and Health Sciences,"ZANONTIAN, LINDA ANIA"
21F,STATS  ,13      ,A  ,65,148,Introduction to Statistical Methods for Life and Health Sciences,"ZANONTIAN, LINDA ANIA"
21F,STATS  ,13      ,A- ,23,148,Introduction to Statistical Methods for Life and Health Sciences,"ZANONTIAN, LINDA ANIA"
21F,STATS  ,13      ,B+ ,25,148,Introduction to Statistical Methods for Life and Health Sciences,"ZANONTIAN, LINDA ANIA"
21F,STATS  ,13      ,B  ,16,148,Introduction to Statistical Methods for Life and Health Sciences,"ZANONTIAN, LINDA ANIA"
21F,STATS  ,13      ,B- ,7,148,Introduction to Statistical Methods for Life and Health Sciences,"ZANONTIAN, LINDA ANIA"
21F,STATS  ,13      ,C+ ,5,148,Introduction to Statistical Methods for Life and Health Sciences,"ZANONTIAN, LINDA ANIA"
21F,STATS  ,13      ,C  ,2,148,Introduction to Statistical Methods for Life and Health Sciences,"ZANONTIAN, LINDA ANIA"
21F,STATS  ,13      ,C- ,3,148,Introduction to Statistical Methods for Life and Health Sciences,"ZANONTIAN, LINDA ANIA"
21F,STATS  ,13      ,NP ,1,148,Introduction to Statistical Methods for Life and Health Sciences,"ZANONTIAN, LINDA ANIA"
21F,STATS  ,13      ,P  ,1,148,Introduction to Statistical Methods for Life and Health Sciences,"ZANONTIAN, LINDA ANIA"
21F,STATS  ,15      ,A+ ,2,33,Introduction to Data Science,"CHEN, MILES SATORI"
21F,STATS  ,15      ,A  ,16,33,Introduction to Data Science,"CHEN, MILES SATORI"
21F,STATS  ,15      ,A- ,4,33,Introduction to Data Science,"CHEN, MILES SATORI"
21F,STATS  ,15      ,B+ ,1,33,Introduction to Data Science,"CHEN, MILES SATORI"
21F,STATS  ,15      ,B  ,5,33,Introduction to Data Science,"CHEN, MILES SATORI"
21F,STATS  ,15      ,C  ,2,33,Introduction to Data Science,"CHEN, MILES SATORI"
21F,STATS  ,15      ,P  ,3,33,Introduction to Data Science,"CHEN, MILES SATORI"
21F,STATS  ,19      ,P  ,13,13,Fiat Lux Freshman Seminars,"CHRISTOU, NICOLAS"
21F,STATS  ,19      ,P  ,18,18,Fiat Lux Freshman Seminars,"PAIK SCHOENBERG, FREDERIC ROLAND"
21F,STATS  ,20      ,A+ ,5,108,Introduction to Statistical Programming with R,"TSIANG, MICHAEL"
21F,STATS  ,20      ,A  ,60,108,Introduction to Statistical Programming with R,"TSIANG, MICHAEL"
21F,STATS  ,20      ,A- ,14,108,Introduction to Statistical Programming with R,"TSIANG, MICHAEL"
21F,STATS  ,20      ,B+ ,12,108,Introduction to Statistical Programming with R,"TSIANG, MICHAEL"
21F,STATS  ,20      ,B  ,7,108,Introduction to Statistical Programming with R,"TSIANG, MICHAEL"
21F,STATS  ,20      ,B- ,3,108,Introduction to Statistical Programming with R,"TSIANG, MICHAEL"
21F,STATS  ,20      ,C+ ,1,108,Introduction to Statistical Programming with R,"TSIANG, MICHAEL"
21F,STATS  ,20      ,C  ,2,108,Introduction to Statistical Programming with R,"TSIANG, MICHAEL"
21F,STATS  ,20      ,F  ,1,108,Introduction to Statistical Programming with R,"TSIANG, MICHAEL"
21F,STATS  ,20      ,P  ,3,108,Introduction to Statistical Programming with R,"TSIANG, MICHAEL"
21F,STATS  ,20      ,A+ ,5,102,Introduction to Statistical Programming with R,"TSIANG, MICHAEL"
21F,STATS  ,20      ,A  ,52,102,Introduction to Statistical Programming with R,"TSIANG, MICHAEL"
21F,STATS  ,20      ,A- ,19,102,Introduction to Statistical Programming with R,"TSIANG, MICHAEL"
21F,STATS  ,20      ,B+ ,8,102,Introduction to Statistical Programming with R,"TSIANG, MICHAEL"
21F,STATS  ,20      ,B  ,3,102,Introduction to Statistical Programming with R,"TSIANG, MICHAEL"
21F,STATS  ,20      ,B- ,7,102,Introduction to Statistical Programming with R,"TSIANG, MICHAEL"
21F,STATS  ,20      ,C+ ,1,102,Introduction to Statistical Programming with R,"TSIANG, MICHAEL"
21F,STATS  ,20      ,F  ,2,102,Introduction to Statistical Programming with R,"TSIANG, MICHAEL"
21F,STATS  ,20      ,I  ,1,102,Introduction to Statistical Programming with R,"TSIANG, MICHAEL"
21F,STATS  ,20      ,P  ,4,102,Introduction to Statistical Programming with R,"TSIANG, MICHAEL"
21F,STATS  ,100A    ,A+ ,14,73,Introduction to Probability,"PAIK SCHOENBERG, FREDERIC ROLAND"
21F,STATS  ,100A    ,A  ,12,73,Introduction to Probability,"PAIK SCHOENBERG, FREDERIC ROLAND"
21F,STATS  ,100A    ,A- ,11,73,Introduction to Probability,"PAIK SCHOENBERG, FREDERIC ROLAND"
21F,STATS  ,100A    ,B+ ,10,73,Introduction to Probability,"PAIK SCHOENBERG, FREDERIC ROLAND"
21F,STATS  ,100A    ,B  ,8,73,Introduction to Probability,"PAIK SCHOENBERG, FREDERIC ROLAND"
21F,STATS  ,100A    ,B- ,5,73,Introduction to Probability,"PAIK SCHOENBERG, FREDERIC ROLAND"
21F,STATS  ,100A    ,C+ ,2,73,Introduction to Probability,"PAIK SCHOENBERG, FREDERIC ROLAND"
21F,STATS  ,100A    ,C  ,3,73,Introduction to Probability,"PAIK SCHOENBERG, FREDERIC ROLAND"
21F,STATS  ,100A    ,C- ,2,73,Introduction to Probability,"PAIK SCHOENBERG, FREDERIC ROLAND"
21F,STATS  ,100A    ,D  ,1,73,Introduction to Probability,"PAIK SCHOENBERG, FREDERIC ROLAND"
21F,STATS  ,100A    ,F  ,3,73,Introduction to Probability,"PAIK SCHOENBERG, FREDERIC ROLAND"
21F,STATS  ,100A    ,I  ,2,73,Introduction to Probability,"PAIK SCHOENBERG, FREDERIC ROLAND"
21F,STATS  ,100A    ,A+ ,3,57,Introduction to Probability,"SANCHEZ, JUANA"
21F,STATS  ,100A    ,A  ,19,57,Introduction to Probability,"SANCHEZ, JUANA"
21F,STATS  ,100A    ,A- ,6,57,Introduction to Probability,"SANCHEZ, JUANA"
21F,STATS  ,100A    ,B+ ,9,57,Introduction to Probability,"SANCHEZ, JUANA"
21F,STATS  ,100A    ,B  ,10,57,Introduction to Probability,"SANCHEZ, JUANA"
21F,STATS  ,100A    ,B- ,3,57,Introduction to Probability,"SANCHEZ, JUANA"
21F,STATS  ,100A    ,C+ ,2,57,Introduction to Probability,"SANCHEZ, JUANA"
21F,STATS  ,100A    ,C  ,1,57,Introduction to Probability,"SANCHEZ, JUANA"
21F,STATS  ,100A    ,C- ,1,57,Introduction to Probability,"SANCHEZ, JUANA"
21F,STATS  ,100A    ,F  ,1,57,Introduction to Probability,"SANCHEZ, JUANA"
21F,STATS  ,100A    ,NP ,1,57,Introduction to Probability,"SANCHEZ, JUANA"
21F,STATS  ,100A    ,P  ,1,57,Introduction to Probability,"SANCHEZ, JUANA"
21F,STATS  ,100A    ,A+ ,2,50,Introduction to Probability,"SANCHEZ, JUANA"
21F,STATS  ,100A    ,A  ,11,50,Introduction to Probability,"SANCHEZ, JUANA"
21F,STATS  ,100A    ,A- ,10,50,Introduction to Probability,"SANCHEZ, JUANA"
21F,STATS  ,100A    ,B+ ,10,50,Introduction to Probability,"SANCHEZ, JUANA"
21F,STATS  ,100A    ,B  ,9,50,Introduction to Probability,"SANCHEZ, JUANA"
21F,STATS  ,100A    ,B- ,5,50,Introduction to Probability,"SANCHEZ, JUANA"
21F,STATS  ,100A    ,C+ ,2,50,Introduction to Probability,"SANCHEZ, JUANA"
21F,STATS  ,100A    ,P  ,1,50,Introduction to Probability,"SANCHEZ, JUANA"
21F,STATS  ,100A    ,A+ ,6,70,Introduction to Probability,"MONTUFAR CUARTAS, GUIDO FRANCISCO"
21F,STATS  ,100A    ,A  ,23,70,Introduction to Probability,"MONTUFAR CUARTAS, GUIDO FRANCISCO"
21F,STATS  ,100A    ,A- ,17,70,Introduction to Probability,"MONTUFAR CUARTAS, GUIDO FRANCISCO"
21F,STATS  ,100A    ,B+ ,10,70,Introduction to Probability,"MONTUFAR CUARTAS, GUIDO FRANCISCO"
21F,STATS  ,100A    ,B  ,5,70,Introduction to Probability,"MONTUFAR CUARTAS, GUIDO FRANCISCO"
21F,STATS  ,100A    ,B- ,3,70,Introduction to Probability,"MONTUFAR CUARTAS, GUIDO FRANCISCO"
21F,STATS  ,100A    ,C+ ,3,70,Introduction to Probability,"MONTUFAR CUARTAS, GUIDO FRANCISCO"
21F,STATS  ,100A    ,D+ ,1,70,Introduction to Probability,"MONTUFAR CUARTAS, GUIDO FRANCISCO"
21F,STATS  ,100A    ,F  ,2,70,Introduction to Probability,"MONTUFAR CUARTAS, GUIDO FRANCISCO"
21F,STATS  ,100A    ,P  ,1,70,Introduction to Probability,"MONTUFAR CUARTAS, GUIDO FRANCISCO"
21F,STATS  ,100B    ,A  ,13,63,Introduction to Mathematical Statistics,"CHRISTOU, NICOLAS"
21F,STATS  ,100B    ,A- ,16,63,Introduction to Mathematical Statistics,"CHRISTOU, NICOLAS"
21F,STATS  ,100B    ,B+ ,23,63,Introduction to Mathematical Statistics,"CHRISTOU, NICOLAS"
21F,STATS  ,100B    ,B  ,7,63,Introduction to Mathematical Statistics,"CHRISTOU, NICOLAS"
21F,STATS  ,100B    ,B- ,2,63,Introduction to Mathematical Statistics,"CHRISTOU, NICOLAS"
21F,STATS  ,100B    ,F  ,1,63,Introduction to Mathematical Statistics,"CHRISTOU, NICOLAS"
21F,STATS  ,100B    ,P  ,1,63,Introduction to Mathematical Statistics,"CHRISTOU, NICOLAS"
21F,STATS  ,100C    ,A  ,10,52,Linear Models,"CHRISTOU, NICOLAS"
21F,STATS  ,100C    ,A- ,19,52,Linear Models,"CHRISTOU, NICOLAS"
21F,STATS  ,100C    ,B+ ,11,52,Linear Models,"CHRISTOU, NICOLAS"
21F,STATS  ,100C    ,B  ,10,52,Linear Models,"CHRISTOU, NICOLAS"
21F,STATS  ,100C    ,B- ,1,52,Linear Models,"CHRISTOU, NICOLAS"
21F,STATS  ,100C    ,I  ,1,52,Linear Models,"CHRISTOU, NICOLAS"
21F,STATS  ,101C    ,A  ,8,53,Introduction to Statistical Models and Data Mining,"ALMOHALWAS, AKRAM M"
21F,STATS  ,101C    ,A- ,22,53,Introduction to Statistical Models and Data Mining,"ALMOHALWAS, AKRAM M"
21F,STATS  ,101C    ,B+ ,12,53,Introduction to Statistical Models and Data Mining,"ALMOHALWAS, AKRAM M"
21F,STATS  ,101C    ,B  ,8,53,Introduction to Statistical Models and Data Mining,"ALMOHALWAS, AKRAM M"
21F,STATS  ,101C    ,C+ ,1,53,Introduction to Statistical Models and Data Mining,"ALMOHALWAS, AKRAM M"
21F,STATS  ,101C    ,D+ ,1,53,Introduction to Statistical Models and Data Mining,"ALMOHALWAS, AKRAM M"
21F,STATS  ,101C    ,NP ,1,53,Introduction to Statistical Models and Data Mining,"ALMOHALWAS, AKRAM M"
21F,STATS  ,101C    ,A+ ,8,39,Introduction to Statistical Models and Data Mining,"ALMOHALWAS, AKRAM M"
21F,STATS  ,101C    ,A  ,8,39,Introduction to Statistical Models and Data Mining,"ALMOHALWAS, AKRAM M"
21F,STATS  ,101C    ,A- ,11,39,Introduction to Statistical Models and Data Mining,"ALMOHALWAS, AKRAM M"
21F,STATS  ,101C    ,B+ ,2,39,Introduction to Statistical Models and Data Mining,"ALMOHALWAS, AKRAM M"
21F,STATS  ,101C    ,B  ,5,39,Introduction to Statistical Models and Data Mining,"ALMOHALWAS, AKRAM M"
21F,STATS  ,101C    ,B- ,3,39,Introduction to Statistical Models and Data Mining,"ALMOHALWAS, AKRAM M"
21F,STATS  ,101C    ,C+ ,1,39,Introduction to Statistical Models and Data Mining,"ALMOHALWAS, AKRAM M"
21F,STATS  ,101C    ,F  ,1,39,Introduction to Statistical Models and Data Mining,"ALMOHALWAS, AKRAM M"
21F,STATS  ,102C    ,A+ ,2,44,Introduction to Monte Carlo Methods,"ZHOU, QING"
21F,STATS  ,102C    ,A  ,15,44,Introduction to Monte Carlo Methods,"ZHOU, QING"
21F,STATS  ,102C    ,A- ,9,44,Introduction to Monte Carlo Methods,"ZHOU, QING"
21F,STATS  ,102C    ,B+ ,6,44,Introduction to Monte Carlo Methods,"ZHOU, QING"
21F,STATS  ,102C    ,B  ,3,44,Introduction to Monte Carlo Methods,"ZHOU, QING"
21F,STATS  ,102C    ,B- ,4,44,Introduction to Monte Carlo Methods,"ZHOU, QING"
21F,STATS  ,102C    ,C+ ,3,44,Introduction to Monte Carlo Methods,"ZHOU, QING"
21F,STATS  ,102C    ,C  ,1,44,Introduction to Monte Carlo Methods,"ZHOU, QING"
21F,STATS  ,102C    ,C- ,1,44,Introduction to Monte Carlo Methods,"ZHOU, QING"
21F,STATS  ,102C    ,A+ ,1,70,Introduction to Monte Carlo Methods,"WU, GUANI"
21F,STATS  ,102C    ,A  ,18,70,Introduction to Monte Carlo Methods,"WU, GUANI"
21F,STATS  ,102C    ,A- ,18,70,Introduction to Monte Carlo Methods,"WU, GUANI"
21F,STATS  ,102C    ,B+ ,11,70,Introduction to Monte Carlo Methods,"WU, GUANI"
21F,STATS  ,102C    ,B  ,6,70,Introduction to Monte Carlo Methods,"WU, GUANI"
21F,STATS  ,102C    ,C+ ,5,70,Introduction to Monte Carlo Methods,"WU, GUANI"
21F,STATS  ,102C    ,C  ,6,70,Introduction to Monte Carlo Methods,"WU, GUANI"
21F,STATS  ,102C    ,D  ,2,70,Introduction to Monte Carlo Methods,"WU, GUANI"
21F,STATS  ,102C    ,D- ,1,70,Introduction to Monte Carlo Methods,"WU, GUANI"
21F,STATS  ,102C    ,F  ,1,70,Introduction to Monte Carlo Methods,"WU, GUANI"
21F,STATS  ,102C    ,I  ,1,70,Introduction to Monte Carlo Methods,"WU, GUANI"
21F,STATS  ,102C    ,A+ ,4,68,Introduction to Monte Carlo Methods,"CHEN, MILES SATORI"
21F,STATS  ,102C    ,A  ,40,68,Introduction to Monte Carlo Methods,"CHEN, MILES SATORI"
21F,STATS  ,102C    ,A- ,7,68,Introduction to Monte Carlo Methods,"CHEN, MILES SATORI"
21F,STATS  ,102C    ,B+ ,6,68,Introduction to Monte Carlo Methods,"CHEN, MILES SATORI"
21F,STATS  ,102C    ,B  ,3,68,Introduction to Monte Carlo Methods,"CHEN, MILES SATORI"
21F,STATS  ,102C    ,B- ,2,68,Introduction to Monte Carlo Methods,"CHEN, MILES SATORI"
21F,STATS  ,102C    ,C+ ,3,68,Introduction to Monte Carlo Methods,"CHEN, MILES SATORI"
21F,STATS  ,102C    ,C  ,1,68,Introduction to Monte Carlo Methods,"CHEN, MILES SATORI"
21F,STATS  ,102C    ,D  ,1,68,Introduction to Monte Carlo Methods,"CHEN, MILES SATORI"
21F,STATS  ,102C    ,P  ,1,68,Introduction to Monte Carlo Methods,"CHEN, MILES SATORI"
21F,STATS  ,112     ,A+ ,6,38,Statistics: Window to Understanding Diversity,"ESFANDIARI, MARYAM MAHTASH"
21F,STATS  ,112     ,A  ,27,38,Statistics: Window to Understanding Diversity,"ESFANDIARI, MARYAM MAHTASH"
21F,STATS  ,112     ,A- ,2,38,Statistics: Window to Understanding Diversity,"ESFANDIARI, MARYAM MAHTASH"
21F,STATS  ,112     ,B+ ,3,38,Statistics: Window to Understanding Diversity,"ESFANDIARI, MARYAM MAHTASH"
21F,STATS  ,115     ,A+ ,15,46,Probabilistic Decision Making,"GAO, TAO"
21F,STATS  ,115     ,A  ,22,46,Probabilistic Decision Making,"GAO, TAO"
21F,STATS  ,115     ,A- ,4,46,Probabilistic Decision Making,"GAO, TAO"
21F,STATS  ,115     ,B  ,3,46,Probabilistic Decision Making,"GAO, TAO"
21F,STATS  ,115     ,C+ ,2,46,Probabilistic Decision Making,"GAO, TAO"
21F,STATS  ,140XP   ,IP ,40,40,Practice of Statistical Consulting,"LEW, VIVIAN"
21F,STATS  ,140XP   ,IP ,38,38,Practice of Statistical Consulting,"LEW, VIVIAN"
21F,STATS  ,140XP   ,IP ,33,33,Practice of Statistical Consulting,"ZES, DAVID ANTHONY"
21F,STATS  ,140XP   ,IP ,27,27,Practice of Statistical Consulting,"ZES, DAVID ANTHONY"
21F,STATS  ,200A    ,A+ ,3,33,Applied Probability,"WU, YINGNIAN"
21F,STATS  ,200A    ,A  ,26,33,Applied Probability,"WU, YINGNIAN"
21F,STATS  ,200A    ,A- ,4,33,Applied Probability,"WU, YINGNIAN"
21F,STATS  ,201A    ,A  ,11,29,"Research Design, Sampling, and Analysis","XU, HONGQUAN"
21F,STATS  ,201A    ,A- ,9,29,"Research Design, Sampling, and Analysis","XU, HONGQUAN"
21F,STATS  ,201A    ,B+ ,6,29,"Research Design, Sampling, and Analysis","XU, HONGQUAN"
21F,STATS  ,201A    ,B  ,3,29,"Research Design, Sampling, and Analysis","XU, HONGQUAN"
21F,STATS  ,202A    ,A+ ,6,33,Statistics Programming,"PAIK SCHOENBERG, FREDERIC ROLAND"
21F,STATS  ,202A    ,A  ,23,33,Statistics Programming,"PAIK SCHOENBERG, FREDERIC ROLAND"
21F,STATS  ,202A    ,A- ,2,33,Statistics Programming,"PAIK SCHOENBERG, FREDERIC ROLAND"
21F,STATS  ,202A    ,B  ,1,33,Statistics Programming,"PAIK SCHOENBERG, FREDERIC ROLAND"
21F,STATS  ,202A    ,S  ,1,33,Statistics Programming,"PAIK SCHOENBERG, FREDERIC ROLAND"
21F,STATS  ,203     ,A+ ,2,23,"Large Sample Theory, Including Resampling","LI, JINGYI"
21F,STATS  ,203     ,A  ,15,23,"Large Sample Theory, Including Resampling","LI, JINGYI"
21F,STATS  ,203     ,A- ,5,23,"Large Sample Theory, Including Resampling","LI, JINGYI"
21F,STATS  ,203     ,B  ,1,23,"Large Sample Theory, Including Resampling","LI, JINGYI"
21F,STATS  ,M231A   ,A+ ,6,30,Pattern Recognition and Machine Learning,"WU, YINGNIAN"
21F,STATS  ,M231A   ,A  ,21,30,Pattern Recognition and Machine Learning,"WU, YINGNIAN"
21F,STATS  ,M231A   ,A- ,3,30,Pattern Recognition and Machine Learning,"WU, YINGNIAN"
21F,STATS  ,290     ,S  ,73,73,Current Literature in Statistics,"HANDCOCK, MARK S"
21F,STATS  ,296     ,S  ,10,10,Participating Seminar: Statistics,"LI, JINGYI"
21F,STATS  ,296     ,S  ,11,11,Participating Seminar: Statistics,"WU, YINGNIAN"
21F,STATS  ,401     ,A+ ,4,32,Survey of Methods in Modern Statistics,"CHEN, MILES SATORI"
21F,STATS  ,401     ,A  ,22,32,Survey of Methods in Modern Statistics,"CHEN, MILES SATORI"
21F,STATS  ,401     ,A- ,2,32,Survey of Methods in Modern Statistics,"CHEN, MILES SATORI"
21F,STATS  ,401     ,B+ ,1,32,Survey of Methods in Modern Statistics,"CHEN, MILES SATORI"
21F,STATS  ,401     ,B  ,2,32,Survey of Methods in Modern Statistics,"CHEN, MILES SATORI"
21F,STATS  ,401     ,C  ,1,32,Survey of Methods in Modern Statistics,"CHEN, MILES SATORI"
21F,STATS  ,402     ,A  ,33,33,Applied Regression,"ESFANDIARI, MARYAM MAHTASH"
21F,STATS  ,412     ,A  ,24,29,Advanced Regression and Predictive Modeling,"WU, GUANI"
21F,STATS  ,412     ,A- ,5,29,Advanced Regression and Predictive Modeling,"WU, GUANI"
21F,STATS  ,419     ,A  ,11,28,Experimental Design,"XU, HONGQUAN"
21F,STATS  ,419     ,A- ,3,28,Experimental Design,"XU, HONGQUAN"
21F,STATS  ,419     ,B+ ,11,28,Experimental Design,"XU, HONGQUAN"
21F,STATS  ,419     ,B  ,3,28,Experimental Design,"XU, HONGQUAN"
21F,STATS  ,495A    ,S  ,13,13,Teaching College Statistics,"ESFANDIARI, MARYAM MAHTASH"
21F,STATS  ,596     ,A+ ,8,10,Directed Individual Study or Research,"WU, YINGNIAN"
21F,STATS  ,596     ,A  ,2,10,Directed Individual Study or Research,"WU, YINGNIAN"
22W,STATS  ,10      ,A+ ,46,149,Introduction to Statistical Reasoning,"CHA, MARIA"
22W,STATS  ,10      ,A  ,42,149,Introduction to Statistical Reasoning,"CHA, MARIA"
22W,STATS  ,10      ,A- ,12,149,Introduction to Statistical Reasoning,"CHA, MARIA"
22W,STATS  ,10      ,B+ ,13,149,Introduction to Statistical Reasoning,"CHA, MARIA"
22W,STATS  ,10      ,B  ,12,149,Introduction to Statistical Reasoning,"CHA, MARIA"
22W,STATS  ,10      ,B- ,6,149,Introduction to Statistical Reasoning,"CHA, MARIA"
22W,STATS  ,10      ,C+ ,7,149,Introduction to Statistical Reasoning,"CHA, MARIA"
22W,STATS  ,10      ,C  ,5,149,Introduction to Statistical Reasoning,"CHA, MARIA"
